Term	Overlap	P.value	Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Rank	Database
PPAR signaling pathway	1/74	0.556261618529571	0.655950604077646	1.24417650400859	0.729730121267382	FABP5	171	KEGG_2021_Human
Glioma	1/75	0.561116329317514	0.655950604077646	1.22730103375265	0.709167716549206	GADD45B	172	KEGG_2021_Human
Thyroid hormone synthesis	1/75	0.561116329317514	0.655950604077646	1.22730103375265	0.709167716549206	HSPA5	172	KEGG_2021_Human
Gastric acid secretion	1/76	0.565918168223852	0.655950604077646	1.21087557603687	0.689358476820674	ACTB	174	KEGG_2021_Human
Metabolism of xenobiotics by cytochrome P450	1/76	0.565918168223852	0.655950604077646	1.21087557603687	0.689358476820674	GSTP1	174	KEGG_2021_Human
Pancreatic cancer	1/76	0.565918168223852	0.655950604077646	1.21087557603687	0.689358476820674	GADD45B	174	KEGG_2021_Human
Arrhythmogenic right ventricular cardiomyopathy	1/77	0.570667708443044	0.657718714815712	1.19488236720834	0.670267095660947	ACTB	177	KEGG_2021_Human
Axon guidance	2/182	0.592282744423294	0.676562651372143	1.00833333333333	0.528135908871239	CFL1;RHOA	178	KEGG_2021_Human
Peroxisome	1/82	0.593650561743204	0.676562651372143	1.12083973374296	0.584478033394736	SOD2	179	KEGG_2021_Human
Alcoholism	2/186	0.604137313117718	0.683961338009432	0.986211755233494	0.497005129391838	GNG2;GNG5	180	KEGG_2021_Human
ErbB signaling pathway	1/85	0.606848049900525	0.683961338009432	1.08064516129032	0.539757239954919	CBLB	181	KEGG_2021_Human
Salivary secretion	1/93	0.639992235307399	0.717353934080821	0.986275295531957	0.440173909929047	CST3	182	KEGG_2021_Human
Focal adhesion	2/201	0.646271290639517	0.720433569893232	0.911176251628513	0.397761153086579	ACTB;RHOA	183	KEGG_2021_Human
Choline metabolism in cancer	1/98	0.659279186073301	0.730939967168225	0.93519882179676	0.389611481983058	HIF1A	184	KEGG_2021_Human
Longevity regulating pathway	1/102	0.673965354438333	0.739131653725622	0.897978737965963	0.354321372426227	SOD2	185	KEGG_2021_Human
Pancreatic secretion	1/102	0.673965354438333	0.739131653725622	0.897978737965963	0.354321372426227	RHOA	185	KEGG_2021_Human
Protein digestion and absorption	1/103	0.677537349248487	0.739131653725622	0.889129845486582	0.346129890765733	SLC1A5	187	KEGG_2021_Human
cAMP signaling pathway	2/216	0.684793541433888	0.743073842832516	0.846659743856006	0.320577455165509	RHOA;NFKBIA	188	KEGG_2021_Human
Thermogenesis	2/232	0.722041043497924	0.779345888219982	0.787117552334944	0.256343166628415	ACTB;MAP2K3	189	KEGG_2021_Human
Growth hormone synthesis, secretion and action	1/119	0.72966815935514	0.783433181623413	0.767945012887604	0.242029715915357	MAP2K3	190	KEGG_2021_Human
Chemical carcinogenesis	2/239	0.737139129165935	0.787310902355239	0.763595874355368	0.232880421273258	GSTP1;KLF4	191	KEGG_2021_Human
Cell cycle	1/124	0.744169365038514	0.790679950353421	0.736540406878723	0.217637841858497	GADD45B	192	KEGG_2021_Human
Parkinson disease	2/249	0.757496017635838	0.796962878152496	0.732306192832509	0.203388524243052	HSPA5;SLC25A5	193	KEGG_2021_Human
Purine metabolism	1/129	0.757896070399922	0.796962878152496	0.707589285714286	0.196150127523871	PKM	194	KEGG_2021_Human
Estrogen signaling pathway	1/137	0.778349816545187	0.810119196812337	0.665695310382217	0.166809411764626	CTSD	195	KEGG_2021_Human
Insulin signaling pathway	1/137	0.778349816545187	0.810119196812337	0.665695310382217	0.166809411764626	CBLB	195	KEGG_2021_Human
Ubiquitin mediated proteolysis	1/140	0.78556832462647	0.813481919917766	0.651228326094884	0.157172551628478	CBLB	197	KEGG_2021_Human
Spinocerebellar ataxia	1/143	0.792552790017943	0.816569541230608	0.637372622833777	0.148186689490008	SLC25A5	198	KEGG_2021_Human
Breast cancer	1/147	0.801514366061127	0.82165291797221	0.619784104538855	0.137128710151717	GADD45B	199	KEGG_2021_Human
Gastric cancer	1/149	0.805849567707699	0.821966559061853	0.611346369410885	0.131964123488383	GADD45B	200	KEGG_2021_Human
Cushing syndrome	1/155	0.81829771841661	0.830511117198948	0.587348135735232	0.117780363473783	NR4A1	201	KEGG_2021_Human
Wnt signaling pathway	1/166	0.839091858607565	0.847399698791798	0.547884373690825	0.0961181458777991	RHOA	202	KEGG_2021_Human
Huntington disease	2/306	0.849294592831025	0.853478310037089	0.593262670565302	0.0969089617645066	SOD2;SLC25A5	203	KEGG_2021_Human
Calcium signaling pathway	1/240	0.92908636275203	0.92908636275203	0.376819698050633	0.0277164383165519	SLC25A5	204	KEGG_2021_Human
TNF-alpha Signaling via NF-kB	49/200	8.89034443537444e-53	3.73394466285727e-51	37.6942278302441	4517.73025757429	MARCKS;NINJ1;TNFSF9;ATF3;EGR1;EGR2;EGR3;GADD45B;IER3;DUSP2;RHOB;IL1B;BHLHE40;ID2;REL;G0S2;PTGER4;NAMPT;PHLDA1;PNRC1;CD69;CD83;CSF2;CSF1;PPP1R15A;TNF;ZFP36;MAP3K8;MAP2K3;GEM;NR4A3;NR4A2;ETS2;NR4A1;TNFRSF9;NFKBIA;BCL2A1;TNFAIP3;CXCL2;CXCL3;MCL1;PLAUR;KLF4;SOD2;KLF6;PLEK;CCL5;CCL4;CCL2	1	MSigDB_Hallmark_2020
Allograft Rejection	26/200	1.21435230177691e-20	2.55013983373152e-19	15.2600574712644	699.787948303427	CD7;GBP2;HLA-A;SPI1;PRF1;HIF1A;CFP;IL1B;HLA-DMA;CD74;CRTAM;CXCL13;KLRD1;CSF1;TNF;NLRP3;CD8A;FASLG;SRGN;IFNG;LCP2;GZMB;GZMA;CCL5;CCL4;CCL2	2	MSigDB_Hallmark_2020
Complement	22/200	4.70764793733696e-16	6.59070711227174e-15	12.3620729190553	436.284417098844	PFN1;CBLB;GNG2;APOBEC3G;LGMN;ANXA5;SERPINA1;FCER1G;CTSD;CTSC;C1QC;C1QA;FCN1;HSPA5;LCP2;TNFAIP3;GZMB;GZMA;PLAUR;GZMK;PLEK;CCL5	3	MSigDB_Hallmark_2020
Inflammatory Response	21/200	5.78493116552686e-15	6.07417772380321e-14	11.6740776451238	382.71735717972	TNFSF9;RNF144B;HIF1A;CD14;IL1B;ADM;PTGER4;NAMPT;CD69;CSF1;NLRP3;CYBB;C5AR1;TNFRSF9;NFKBIA;LCP2;CXCL8;PLAUR;KLF6;CCL5;CCL2	4	MSigDB_Hallmark_2020
Interferon Gamma Response	19/200	7.3526136687065e-13	6.17619548171346e-12	10.3395152558372	288.871067649667	IFITM2;HLA-A;HLA-DRB1;HIF1A;IFI30;KLRK1;NAMPT;HLA-DMA;CD74;VCAM1;CD69;XCL1;NFKBIA;LCP2;TNFAIP3;GZMA;SOD2;CCL5;CCL2	5	MSigDB_Hallmark_2020
IL-2/STAT5 Signaling	16/199	6.13826147853701e-10	4.29678303497591e-09	8.4830384677812	179.93635337753	GADD45B;RHOH;RHOB;BHLHE40;CST7;EOMES;PHLDA1;CD83;CSF2;CSF1;SLC1A5;MAP3K8;PRNP;HOPX;TNFRSF9;KLF6	6	MSigDB_Hallmark_2020
Apoptosis	14/161	2.70489024388917e-09	1.6229341463335e-08	9.16666666666667	180.841874590146	CD69;ATF3;TNF;EGR3;GADD45B;PRF1;FASLG;CD14;IER3;ANXA1;RHOB;IL1B;MCL1;SOD2	7	MSigDB_Hallmark_2020
mTORC1 Signaling	14/200	4.35838692951711e-08	2.28815313799648e-07	7.23023402909551	122.542190644769	LGMN;CFP;IFI30;SLC7A5;BHLHE40;CALR;CTSC;NAMPT;SLA;PPP1R15A;SLC1A5;MAP2K3;HSPA5;GAPDH	8	MSigDB_Hallmark_2020
Hypoxia	12/200	2.10513221679028e-06	8.84155531051918e-06	6.07126626730014	79.3583244989771	ATF3;IER3;BHLHE40;ADM;PNRC1;PPP1R15A;ZFP36;HSPA5;TNFAIP3;PLAUR;KLF6;GAPDH	9	MSigDB_Hallmark_2020
KRAS Signaling Up	12/200	2.10513221679028e-06	8.84155531051918e-06	6.07126626730014	79.3583244989771	IL1B;ID2;FCER1G;G0S2;TMEM176B;CSF2;PPP1R15A;MAFB;LCP1;TNFAIP3;PLAUR;KLF4	9	MSigDB_Hallmark_2020
IL-6/JAK/STAT3 Signaling	8/87	4.89084612561826e-06	1.86741397523606e-05	9.50114526823388	116.181384263709	IL1B;CXCL13;CSF2;CSF1;TNF;CXCL3;MAP3K8;CD14	11	MSigDB_Hallmark_2020
Cholesterol Homeostasis	6/74	0.000156420191602762	0.000547470670609666	8.2050499445061	71.9005624992262	ANXA5;PNRC1;ATF3;PLAUR;FABP5;LGMN	12	MSigDB_Hallmark_2020
Epithelial Mesenchymal Transition	9/200	0.000359368205969782	0.00107810461790934	4.41691926150455	35.0313068492705	GADD45B;RHOB;ID2;VCAM1;GEM;DAB2;CXCL8;TNFAIP3;PLAUR	13	MSigDB_Hallmark_2020
p53 Pathway	9/200	0.000359368205969782	0.00107810461790934	4.41691926150455	35.0313068492705	NINJ1;TNFSF9;ATF3;IFI30;IER3;CTSD;PPP1R15A;ZFP36L1;KLF4	13	MSigDB_Hallmark_2020
Interferon Alpha Response	6/97	0.000678177659470314	0.00189889744651688	6.12409288824383	44.6820018978723	CD74;IFITM2;CSF1;GBP2;HLA-C;IFI30	15	MSigDB_Hallmark_2020
PI3K/AKT/mTOR  Signaling	6/105	0.00102786724127272	0.00269815150834088	5.62692967409949	38.7147912818797	PFN1;SLA;CFL1;MAP2K3;FASLG;CALR	16	MSigDB_Hallmark_2020
Estrogen Response Late	8/200	0.00161816430618387	0.00399781769763075	3.88690476190476	24.9790493125901	EGR3;DUSP2;SLC7A5;ID2;SERPINA1;FABP5;ZFP36;KLF4	17	MSigDB_Hallmark_2020
UV Response Up	7/158	0.00176532956862319	0.00411910232678744	4.31301591287154	27.3420102016629	ATF3;RAB27A;NR4A1;RHOB;NFKBIA;CXCL2;SOD2	18	MSigDB_Hallmark_2020
Coagulation	6/138	0.00408416325303757	0.0090281503488199	4.2131217838765	23.1748594921528	LGMN;CFD;ANXA1;SERPINA1;C1QA;PLEK	19	MSigDB_Hallmark_2020
Unfolded Protein Response	5/113	0.00797124396312082	0.0167396123225537	4.27621283255086	20.6622957214774	ATF3;HSPA5;SLC7A5;CALR;CCL2	20	MSigDB_Hallmark_2020
Reactive Oxygen Species Pathway	3/49	0.016288287186484	0.032576574372968	5.98665318503539	24.6489010804495	PRNP;SOD2;FTL	21	MSigDB_Hallmark_2020
TGF-beta Signaling	3/54	0.0210804119286237	0.0402444227728271	5.3983584131327	20.8344839187502	RHOA;ID2;PPP1R15A	22	MSigDB_Hallmark_2020
Xenobiotic Metabolism	5/200	0.0683165545227315	0.124751969128466	2.35789093535572	6.32764357031968	NINJ1;ID2;TMEM176B;SLC1A5;ETS2	23	MSigDB_Hallmark_2020
Apical Surface	2/44	0.0830537103388959	0.145343993093068	4.35185185185185	10.8285726938815	CD160;PLAUR	24	MSigDB_Hallmark_2020
Estrogen Response Early	4/200	0.17502725647522	0.26254088471283	1.86782376502003	3.25526859638661	EGR3;SLC7A5;BHLHE40;KLF4	25	MSigDB_Hallmark_2020
